,Name,Price,Format,Rating,URL
125,Self Love Journal: 30 Day Guided Journal to Self Awareness,$17.88,Paperback ,0,https://www.amazon.com//Self-Love-Journal-Guided-Awareness/dp/B09GJPBK7W/ref=sr_1_135?dchild=1&keywords=self+love&qid=1633860687&sr=8-135
126,"Ottolenghi Test Kitchen: Shelf Love: Recipes to Unlock the Secrets of Your Pantry, Fridge, and Freezer: A Cookbook",$26.99,Paperback ,4.2 out of 5 stars,https://www.amazon.com//Ottolenghi-Test-Kitchen-Recipes-Cookbook/dp/0593234367/ref=sr_1_136?dchild=1&keywords=self+love&qid=1633860687&sr=8-136
127,Divining the Self: A Study in Yoruba Myth and Human Consciousness (Signifying (on) Scriptures),$24.95,Paperback ,4.5 out of 5 stars,https://www.amazon.com//Divining-Self-Consciousness-Signifying-Scriptures/dp/0271054069/ref=sr_1_137?dchild=1&keywords=self+love&qid=1633860687&sr=8-137
128,My Self-Love ABC's Coloring Book,$8.00,Paperback ,0,https://www.amazon.com//My-Self-Love-ABCs-Coloring-Book/dp/1736421336/ref=sr_1_138?dchild=1&keywords=self+love&qid=1633860687&sr=8-138
129,"Love Yourself: Essays on self-love, care and healing inspired by BTS",$22.99,Paperback ,5.0 out of 5 stars,https://www.amazon.com//Love-Yourself-self-love-healing-inspired/dp/0645048631/ref=sr_1_139?dchild=1&keywords=self+love&qid=1633860687&sr=8-139
130,Self Love: Finding Peace and Happiness,$19.99,Paperback ,4.9 out of 5 stars,https://www.amazon.com//Self-Love-Finding-Peace-Happiness/dp/1925682595/ref=sr_1_140?dchild=1&keywords=self+love&qid=1633860687&sr=8-140
131,Witchcraft for Self-Love : Magical Practices on the Journey to Self-Love,$2.99,Kindle ,5.0 out of 5 stars,https://www.amazon.com//Witchcraft-Self-Love-Magical-Practices-Journey-ebook/dp/B09GP2V1FF/ref=sr_1_141?dchild=1&keywords=self+love&qid=1633860687&sr=8-141
132,Free Yourself: A Guide to self love,$8.99,Paperback ,5.0 out of 5 stars,https://www.amazon.com//Free-Yourself-Guide-self-love/dp/1982263342/ref=sr_1_142?dchild=1&keywords=self+love&qid=1633860687&sr=8-142
133,"Positive Affirmations for Black Women: Over 100 Affirmations to Boost Positive Thinking, Confidence, Self-Esteem and Self-Love for Black Women",$0.00,Kindle ,0,https://www.amazon.com//Positive-Affirmations-Black-Women-Self-Esteem-ebook/dp/B09HRGMQGF/ref=sr_1_143?dchild=1&keywords=self+love&qid=1633860687&sr=8-143
134,Note To Self: A Ten Week Guided Practice in Self Love,$33.99,Paperback ,5.0 out of 5 stars,https://www.amazon.com//Note-Self-Week-Guided-Practice/dp/B09CR3ZHTH/ref=sr_1_144?dchild=1&keywords=self+love&qid=1633860687&sr=8-144
135,"Redeemed: Guide to SELF-LOVE, Journey to TRUE HAPPINESS",$9.87,Paperback ,4.9 out of 5 stars,https://www.amazon.com//Redeemed-Guide-SELF-LOVE-Journey-HAPPINESS/dp/B09DM8YSG1/ref=sr_1_146?dchild=1&keywords=self+love&qid=1633860692&sr=8-146
136,Things To Know About Self-Love: 30 Day Affirmation Guide,$8.99,Paperback ,4.5 out of 5 stars,https://www.amazon.com//Things-Know-About-Self-Love-Affirmation/dp/1095899481/ref=sr_1_147?dchild=1&keywords=self+love&qid=1633860692&sr=8-147
137,"A Year of Positive Thinking: Daily Inspiration, Wisdom, and Courage (A Year of Daily Reflections)",$10.79,Paperback ,4.7 out of 5 stars,https://www.amazon.com//Year-Positive-Thinking-Inspiration-Courage/dp/1641522410/ref=sr_1_148?dchild=1&keywords=self+love&qid=1633860692&sr=8-148
138,"Self-Love: 100+ Quotes, Reflections, and Activities to Help You Uncover and Strengthen Your Self-Love",$0.00,Audible Audiobook ,4.8 out of 5 stars,https://www.amazon.com//Self-Love-Reflections-Activities-Uncover-Strengthen/dp/B08FRR2ZSY/ref=sr_1_149?dchild=1&keywords=self+love&qid=1633860692&sr=8-149
139,"A Body to Love: Cultivate Community, Body Positivity, and Self-Love in the Age of Social Media (Dealing With Body Image Issues)",$18.95,Paperback ,0,https://www.amazon.com//Body-Love-Cultivate-Community-Positivity/dp/1642506850/ref=sr_1_150?dchild=1&keywords=self+love&qid=1633860692&sr=8-150
140,Emotional Self Care for Black Women: A Journey of Self Help: Self Care Activities for Black Women to Heal their Emotional Selves,$9.99,Paperback ,4.6 out of 5 stars,https://www.amazon.com//Emotional-Self-Care-Black-Women/dp/B08SGWD584/ref=sr_1_151?dchild=1&keywords=self+love&qid=1633860692&sr=8-151
141,"The Magic of Manifesting Love: 15 Advanced Manifestation Techniques to Stop Chasing, Start Attracting, and Become Magnetic to Your Dream Relationship (Law of Attraction Book 3)",$0.00,Kindle ,4.8 out of 5 stars,https://www.amazon.com//Magic-Manifesting-Love-Manifestation-Relationship-ebook/dp/B08XPJNW4B/ref=sr_1_152?dchild=1&keywords=self+love&qid=1633860692&sr=8-152
142,"The Biblical View of Self-Esteem, Self-Love, and Self-Image",$9.79,Paperback ,4.4 out of 5 stars,https://www.amazon.com//Biblical-View-Self-Esteem-Self-Love-Self-Image/dp/0890815534/ref=sr_1_153?dchild=1&keywords=self+love&qid=1633860692&sr=8-153
143,"Self-Love Workbook: Love and Heal Yourself with Mindfulness, Forgiveness, Loving-Kindness & Authentic Self-Expression",$35.00,Paperback ,4.7 out of 5 stars,https://www.amazon.com//Self-Love-Workbook-Mindfulness-Loving-Kindness-Self-Expression/dp/B0898Z75JC/ref=sr_1_154?dchild=1&keywords=self+love&qid=1633860692&sr=8-154
144,Loving: A Photographic History of Men in Love 1850s-1950s,$46.99,Hardcover ,4.9 out of 5 stars,https://www.amazon.com//Loving-Photographic-History-Love-1850s-1950s/dp/8874399286/ref=sr_1_156?dchild=1&keywords=self+love&qid=1633860692&sr=8-156
